facility_id,scene_id,datetime,cloud_cover,self_href,data_href
bursa-cimento,ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20250905T180835Z,2022-10-29T09:25:31Z,0.0,/geoservice/repository/ENMAP/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20250905T180835Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20250905T180835Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20251109T122037Z,2022-10-29T09:25:31Z,0.0,/geoservice/repository/ENMAP/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20251109T122037Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20251109T122037Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000004969_20221029T092526Z_005_V010502_20250905T181438Z,2022-10-29T09:25:26Z,2.0,/geoservice/repository/ENMAP/L2A/2022/10/29/DT0000004969/05/ENMAP01-____L2A-DT0000004969_20221029T092526Z_005_V010502_20250905T181438Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2022/10/29/DT0000004969/05/ENMAP01-____L2A-DT0000004969_20221029T092526Z_005_V010502_20250905T181438Z-METADATA.XML
goltas-isparta,ENMAP01-____L2A-DT0000111574_20250120T092931Z_015_V010502_20250124T183115Z,2025-01-20T09:29:31Z,5.0,/geoservice/repository/ENMAP/L2A/2025/01/20/DT0000111574/15/ENMAP01-____L2A-DT0000111574_20250120T092931Z_015_V010502_20250124T183115Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/01/20/DT0000111574/15/ENMAP01-____L2A-DT0000111574_20250120T092931Z_015_V010502_20250124T183115Z-METADATA.XML
goltas-isparta,ENMAP01-____L2A-DT0000041185_20230910T091947Z_013_V010502_20250207T074815Z,2023-09-10T09:19:47Z,0.0,/geoservice/repository/ENMAP/L2A/2023/09/10/DT0000041185/13/ENMAP01-____L2A-DT0000041185_20230910T091947Z_013_V010502_20250207T074815Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/09/10/DT0000041185/13/ENMAP01-____L2A-DT0000041185_20230910T091947Z_013_V010502_20250207T074815Z-METADATA.XML
goltas-isparta,ENMAP01-____L2A-DT0000041185_20230910T091947Z_013_V010502_20260101T155759Z,2023-09-10T09:19:47Z,0.0,/geoservice/repository/ENMAP/L2A/2023/09/10/DT0000041185/13/ENMAP01-____L2A-DT0000041185_20230910T091947Z_013_V010502_20260101T155759Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/09/10/DT0000041185/13/ENMAP01-____L2A-DT0000041185_20230910T091947Z_013_V010502_20260101T155759Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000189924_20260427T090711Z_002_V010506_20260428T075901Z,2026-04-27T09:07:13.745663Z,20.0,/ida/hyperspectral/EnMAP/L2A/2026/04/27/DT0000189924/02/ENMAP01-____L2A-DT0000189924_20260427T090711Z_002_V010506_20260428T075901Z/ENMAP01-____L2A-DT0000189924_20260427T090711Z_002_V010506_20260428T075901Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2026/04/27/DT0000189924/02/ENMAP01-____L2A-DT0000189924_20260427T090711Z_002_V010506_20260428T075901Z/ENMAP01-____L2A-DT0000189924_20260427T090711Z_002_V010506_20260428T075901Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000181644_20260308T091126Z_002_V010506_20260309T191602Z,2026-03-08T09:11:28.669372Z,0.0,/ida/hyperspectral/EnMAP/L2A/2026/03/08/DT0000181644/02/ENMAP01-____L2A-DT0000181644_20260308T091126Z_002_V010506_20260309T191602Z/ENMAP01-____L2A-DT0000181644_20260308T091126Z_002_V010506_20260309T191602Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2026/03/08/DT0000181644/02/ENMAP01-____L2A-DT0000181644_20260308T091126Z_002_V010506_20260309T191602Z/ENMAP01-____L2A-DT0000181644_20260308T091126Z_002_V010506_20260309T191602Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000145770_20250728T092831Z_002_V010502_20250730T032451Z,2025-07-28T09:28:31Z,0.0,/geoservice/repository/ENMAP/L2A/2025/07/28/DT0000145770/02/ENMAP01-____L2A-DT0000145770_20250728T092831Z_002_V010502_20250730T032451Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/07/28/DT0000145770/02/ENMAP01-____L2A-DT0000145770_20250728T092831Z_002_V010502_20250730T032451Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000144634_20250724T092456Z_001_V010502_20250727T035135Z,2025-07-24T09:24:56Z,4.0,/geoservice/repository/ENMAP/L2A/2025/07/24/DT0000144634/01/ENMAP01-____L2A-DT0000144634_20250724T092456Z_001_V010502_20250727T035135Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/07/24/DT0000144634/01/ENMAP01-____L2A-DT0000144634_20250724T092456Z_001_V010502_20250727T035135Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010402_20240903T010230Z,2024-08-30T09:22:00Z,0.0,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/ENMAP_HSI_L2A/items/ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010402_20240903T010230Z,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/30/DT0000091529/02/ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010402_20240903T010230Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010502_20260515T065655Z,2024-08-30T09:22:02.883100Z,0.0,/ida/hyperspectral/EnMAP/L2A/2024/08/30/DT0000091529/02/ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010502_20260515T065655Z/ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010502_20260515T065655Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/30/DT0000091529/02/ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010502_20260515T065655Z/ENMAP01-____L2A-DT0000091529_20240830T092200Z_002_V010502_20260515T065655Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000041185_20230910T091854Z_001_V010502_20250210T141844Z,2023-09-10T09:18:54Z,0.0,/geoservice/repository/ENMAP/L2A/2023/09/10/DT0000041185/01/ENMAP01-____L2A-DT0000041185_20230910T091854Z_001_V010502_20250210T141844Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/09/10/DT0000041185/01/ENMAP01-____L2A-DT0000041185_20230910T091854Z_001_V010502_20250210T141844Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000041185_20230910T091854Z_001_V010502_20260101T152901Z,2023-09-10T09:18:54Z,0.0,/geoservice/repository/ENMAP/L2A/2023/09/10/DT0000041185/01/ENMAP01-____L2A-DT0000041185_20230910T091854Z_001_V010502_20260101T152901Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/09/10/DT0000041185/01/ENMAP01-____L2A-DT0000041185_20230910T091854Z_001_V010502_20260101T152901Z-METADATA.XML
erdemir-eregli,ENMAP01-____L2A-DT0000036642_20230826T092907Z_001_V010502_20251228T162423Z,2023-08-26T09:29:07Z,0.0,/geoservice/repository/ENMAP/L2A/2023/08/26/DT0000036642/01/ENMAP01-____L2A-DT0000036642_20230826T092907Z_001_V010502_20251228T162423Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/08/26/DT0000036642/01/ENMAP01-____L2A-DT0000036642_20230826T092907Z_001_V010502_20251228T162423Z-METADATA.XML
isdemir-iskenderun,ENMAP01-____L2A-DT0000171058_20251228T085801Z_018_V010505_20251230T163902Z,2025-12-28T08:58:01Z,2.0,/geoservice/repository/ENMAP/L2A/2025/12/28/DT0000171058/18/ENMAP01-____L2A-DT0000171058_20251228T085801Z_018_V010505_20251230T163902Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/12/28/DT0000171058/18/ENMAP01-____L2A-DT0000171058_20251228T085801Z_018_V010505_20251230T163902Z-METADATA.XML
isdemir-iskenderun,ENMAP01-____L2A-DT0000087835_20240806T090104Z_012_V010502_20260505T210437Z,2024-08-06T09:01:06.298104Z,7.0,/ida/hyperspectral/EnMAP/L2A/2024/08/06/DT0000087835/12/ENMAP01-____L2A-DT0000087835_20240806T090104Z_012_V010502_20260505T210437Z/ENMAP01-____L2A-DT0000087835_20240806T090104Z_012_V010502_20260505T210437Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/06/DT0000087835/12/ENMAP01-____L2A-DT0000087835_20240806T090104Z_012_V010502_20260505T210437Z/ENMAP01-____L2A-DT0000087835_20240806T090104Z_012_V010502_20260505T210437Z-METADATA.XML
isdemir-iskenderun,ENMAP01-____L2A-DT0000087835_20240806T090059Z_011_V010502_20260505T210328Z,2024-08-06T09:01:01.846021Z,23.0,/ida/hyperspectral/EnMAP/L2A/2024/08/06/DT0000087835/11/ENMAP01-____L2A-DT0000087835_20240806T090059Z_011_V010502_20260505T210328Z/ENMAP01-____L2A-DT0000087835_20240806T090059Z_011_V010502_20260505T210328Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/06/DT0000087835/11/ENMAP01-____L2A-DT0000087835_20240806T090059Z_011_V010502_20260505T210328Z/ENMAP01-____L2A-DT0000087835_20240806T090059Z_011_V010502_20260505T210328Z-METADATA.XML
colakoglu-gebze,ENMAP01-____L2A-DT0000164236_20251117T093231Z_005_V010505_20251119T042541Z,2025-11-17T09:32:31Z,1.0,/geoservice/repository/ENMAP/L2A/2025/11/17/DT0000164236/05/ENMAP01-____L2A-DT0000164236_20251117T093231Z_005_V010505_20251119T042541Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/11/17/DT0000164236/05/ENMAP01-____L2A-DT0000164236_20251117T093231Z_005_V010505_20251119T042541Z-METADATA.XML
